Wall time,Step,Value
1748623716.779083,5000,2000.0
1748623720.32923,10000,2000.0
1748623723.768946,15000,2000.0
1748623727.205179,20000,2000.0
1748623730.654711,25000,2000.0
1748623734.0942159,30000,2000.0
1748623737.5378711,35000,2000.0
1748623740.994045,40000,2000.0
1748623744.038778,45000,2000.0
1748623747.462678,50000,2000.0
1748623750.9047208,55000,2000.0
1748623754.363245,60000,2000.0
1748623757.8095338,65000,2000.0
1748623761.250203,70000,2000.0
1748623764.6895611,75000,2000.0
1748623768.1276019,80000,2000.0
1748623771.560905,85000,1766.0
1748623774.698812,90000,2000.0
1748623778.41246,95000,1647.0
1748623782.060341,100000,1994.0
1748623785.541447,105000,2000.0
1748623788.98788,110000,2000.0
1748623792.459865,115000,2000.0
1748623795.92181,120000,2000.0
1748623799.47916,125000,2000.0
1748623802.530514,130000,2000.0
1748623806.0268438,135000,2000.0
1748623809.370431,140000,1231.0
1748623812.867006,145000,2000.0
1748623816.3649468,150000,2000.0
1748623819.7825449,155000,1697.0
1748623823.172107,160000,1320.0
1748623826.658705,165000,2000.0
1748623830.030936,170000,1299.0
1748623833.0019221,175000,1582.0
1748623836.491224,180000,2000.0
1748623839.978264,185000,2000.0
1748623843.565139,190000,2000.0
1748623847.087827,195000,2000.0
1748623850.500331,200000,1742.0
1748623853.946105,205000,2000.0
1748623857.3207428,210000,1639.0
1748623860.333993,215000,1831.0
1748623863.766746,220000,2000.0
1748623867.200973,225000,2000.0
1748623870.6676962,230000,2000.0
1748623874.120158,235000,2000.0
1748623877.5470772,240000,2000.0
1748623880.824455,245000,1054.0
1748623884.260662,250000,2000.0
1748623887.681227,255000,2000.0
1748623890.686961,260000,2000.0
1748623894.27233,265000,2000.0
1748623897.718664,270000,2000.0
1748623901.178538,275000,2000.0
1748623904.687123,280000,2000.0
1748623908.1441221,285000,2000.0
1748623911.6024802,290000,2000.0
1748623915.052681,295000,2000.0
1748623917.947923,300000,1327.0
1748623921.4161239,305000,2000.0
1748623924.862808,310000,2000.0
1748623928.2991219,315000,2000.0
1748623931.663519,320000,1297.0
1748623935.143314,325000,2000.0
1748623938.578376,330000,2000.0
1748623942.029235,335000,2000.0
1748623945.473692,340000,2000.0
1748623948.352669,345000,1213.0
1748623951.79223,350000,2000.0
1748623955.639816,355000,2000.0
1748623959.020149,360000,1420.0
1748623962.509241,365000,2000.0
1748623966.013046,370000,2000.0
1748623969.504305,375000,2000.0
1748623972.9610481,380000,2000.0
1748623975.9898071,385000,2000.0
1748623979.45907,390000,2000.0
1748623982.9150982,395000,2000.0
1748623986.349462,400000,2000.0
1748623989.794372,405000,2000.0
1748623993.17819,410000,1581.0
1748623996.6290162,415000,2000.0
1748624000.074398,420000,2000.0
1748624003.343256,425000,877.0
1748624006.3562582,430000,2000.0
1748624009.805482,435000,2000.0
1748624013.199002,440000,1655.0
1748624016.8761961,445000,1399.0
1748624020.392558,450000,2000.0
1748624023.865792,455000,2000.0
1748624027.196873,460000,1020.0
1748624030.576384,465000,851.0
1748624033.626859,470000,2000.0
1748624037.104772,475000,2000.0
1748624040.449839,480000,1032.0
1748624043.75899,485000,800.0
1748624047.2271512,490000,2000.0
1748624050.697886,495000,2000.0
1748624053.987208,500000,1088.0
