Wall time,Step,Value
1748301675.276281,87040,-1.7910959720611572
1748301675.924798,88064,-1.796128749847412
1748301676.560245,89088,-1.791430950164795
1748301677.2104719,90112,-1.788939356803894
1748301677.861295,91136,-1.7950910329818726
1748301678.512734,92160,-1.8022249937057495
1748301679.150781,93184,-1.806848168373108
1748301679.7926369,94208,-1.8121625185012817
1748301680.4464672,95232,-1.81670081615448
1748301681.089869,96256,-1.8236334323883057
1748301681.737955,97280,-1.8327531814575195
1748301682.37243,98304,-1.837755560874939
1748301683.0109591,99328,-1.841343879699707
1748301683.647198,100352,-1.847538948059082
1748301684.2820349,101376,-1.851335883140564
1748301684.9158678,102400,-1.8563659191131592
1748301685.556633,103424,-1.860590934753418
1748301686.198197,104448,-1.862208366394043
1748301686.83633,105472,-1.85966157913208
1748301687.4811652,106496,-1.860013723373413
1748301688.123706,107520,-1.8622480630874634
1748301688.76785,108544,-1.8642456531524658
1748301689.447383,109568,-1.8691093921661377
1748301690.102257,110592,-1.871347188949585
1748301690.762121,111616,-1.870501160621643
1748301691.445694,112640,-1.869447946548462
1748301692.102367,113664,-1.8729493618011475
1748301692.7504299,114688,-1.8762011528015137
1748301693.3971589,115712,-1.8768398761749268
1748301694.0906749,116736,-1.878098487854004
1748301694.747194,117760,-1.879805564880371
1748301695.403171,118784,-1.8807971477508545
1748301696.048717,119808,-1.8821918964385986
1748301696.686035,120832,-1.8838633298873901
1748301697.320935,121856,-1.8850491046905518
1748301697.958124,122880,-1.8866755962371826
1748301698.59237,123904,-1.8880627155303955
1748301699.2280152,124928,-1.8892885446548462
1748301699.859342,125952,-1.890368103981018
1748301700.495755,126976,-1.8915014266967773
1748301701.132651,128000,-1.8936554193496704
1748301701.765537,129024,-1.8964848518371582
1748301702.403979,130048,-1.8984571695327759
1748301703.0332868,131072,-1.9004054069519043
1748301703.6701481,132096,-1.904479742050171
1748301704.306751,133120,-1.9102708101272583
1748301704.9397461,134144,-1.9131238460540771
1748301705.5750668,135168,-1.9173640012741089
1748301706.214429,136192,-1.9190773963928223
1748301706.851008,137216,-1.9206476211547852
1748301707.4840791,138240,-1.9220952987670898
1748301708.116718,139264,-1.9247205257415771
1748301708.750336,140288,-1.9288830757141113
1748301709.38097,141312,-1.929202675819397
1748301710.0166268,142336,-1.9291683435440063
1748301710.6557481,143360,-1.9300962686538696
1748301711.290702,144384,-1.9313228130340576
1748301711.9201899,145408,-1.9353421926498413
1748301712.560284,146432,-1.9397727251052856
1748301713.1953878,147456,-1.942563772201538
1748301713.8246138,148480,-1.9453492164611816
1748301714.461035,149504,-1.9488729238510132
1748301715.098173,150528,-1.9522778987884521
1748301715.734402,151552,-1.9549869298934937
1748301716.369969,152576,-1.9584648609161377
1748301717.038794,153600,-1.9606431722640991
1748301717.717178,154624,-1.9646469354629517
1748301718.450793,155648,-1.968805193901062
1748301719.104357,156672,-1.9717488288879395
1748301719.765594,157696,-1.97321617603302
1748301720.401403,158720,-1.974212884902954
1748301721.058065,159744,-1.9753624200820923
1748301721.7137349,160768,-1.980493426322937
1748301722.410201,161792,-1.9899758100509644
1748301723.0675998,162816,-1.9976146221160889
1748301723.721893,163840,-2.003023624420166
1748301724.38467,164864,-2.0121090412139893
1748301725.058155,165888,-2.0197672843933105
1748301725.7130392,166912,-2.030458450317383
1748301726.374499,167936,-2.0325827598571777
1748301727.019247,168960,-2.0338261127471924
1748301727.677665,169984,-2.0384533405303955
1748301728.342859,171008,-2.0434556007385254
1748301729.034209,172032,-2.0452187061309814
1748301729.720685,173056,-2.049039363861084
1748301730.399785,174080,-2.050854444503784
1748301731.070494,175104,-2.0502982139587402
1748301731.740732,176128,-2.0536766052246094
1748301732.4089532,177152,-2.0577614307403564
1748301733.07793,178176,-2.0598387718200684
1748301733.7137878,179200,-2.0632271766662598
1748301734.346835,180224,-2.068042755126953
1748301734.980253,181248,-2.072700262069702
1748301735.6145651,182272,-2.0758044719696045
1748301736.249517,183296,-2.078627347946167
1748301736.8851929,184320,-2.0803146362304688
1748301737.515714,185344,-2.0817742347717285
1748301738.149935,186368,-2.0830860137939453
1748301738.7866728,187392,-2.089200496673584
1748301739.426856,188416,-2.0990030765533447
1748301740.056492,189440,-2.104170322418213
1748301740.691427,190464,-2.1064538955688477
1748301741.331827,191488,-2.108616828918457
1748301741.953795,192512,-2.114114761352539
1748301742.583315,193536,-2.1209919452667236
1748301743.216186,194560,-2.1273715496063232
1748301743.8498108,195584,-2.1360487937927246
1748301744.48336,196608,-2.1446659564971924
1748301745.118807,197632,-2.153985023498535
1748301745.7533922,198656,-2.1638379096984863
1748301746.382151,199680,-2.1712608337402344
