Wall time,Step,Value
1748300876.48985,81920,-1.4041435718536377
1748300877.103358,82944,-1.407989263534546
1748300877.71766,83968,-1.4108551740646362
1748300878.32742,84992,-1.4139634370803833
1748300878.931005,86016,-1.4135067462921143
1748300879.5528011,87040,-1.4129513502120972
1748300880.166579,88064,-1.4136574268341064
1748300880.779544,89088,-1.4148319959640503
1748300881.393227,90112,-1.4134310483932495
1748300882.001493,91136,-1.4097980260849
1748300882.6079848,92160,-1.4043420553207397
1748300883.2237382,93184,-1.4002940654754639
1748300883.837141,94208,-1.4010649919509888
1748300884.45154,95232,-1.4014403820037842
1748300885.059984,96256,-1.4018776416778564
1748300885.77159,97280,-1.4021306037902832
1748300886.660553,98304,-1.4022088050842285
1748300887.557329,99328,-1.4032293558120728
1748300888.179749,100352,-1.4043631553649902
1748300888.792063,101376,-1.4038033485412598
1748300889.410811,102400,-1.4030473232269287
1748300890.0248399,103424,-1.4044525623321533
1748300890.63971,104448,-1.4063314199447632
1748300891.2502248,105472,-1.4068952798843384
1748300891.8882592,106496,-1.407157063484192
1748300892.5302389,107520,-1.4067875146865845
1748300893.149815,108544,-1.4072235822677612
1748300893.770625,109568,-1.4072341918945312
1748300894.388167,110592,-1.4078584909439087
1748300895.00033,111616,-1.4101030826568604
1748300895.61503,112640,-1.410597324371338
1748300896.226348,113664,-1.4098047018051147
1748300896.839333,114688,-1.409914493560791
1748300897.450589,115712,-1.4107190370559692
1748300898.0712929,116736,-1.4144080877304077
1748300898.6876721,117760,-1.4137619733810425
1748300899.299955,118784,-1.4143145084381104
1748300899.920068,119808,-1.4163155555725098
1748300900.5384479,120832,-1.4175745248794556
1748300901.153363,121856,-1.4193271398544312
1748300901.778569,122880,-1.4189784526824951
1748300902.397417,123904,-1.4194393157958984
1748300903.009403,124928,-1.4200271368026733
1748300903.625581,125952,-1.4196664094924927
1748300904.244965,126976,-1.4180899858474731
1748300904.863976,128000,-1.4201513528823853
1748300905.4880269,129024,-1.4239219427108765
